FIRSTOCCURRENCE,NODE,ORIGINALSEVERITY,X733SPECIFICPROB
2017-12-28 22:51,JWM036,Critical,Heartbeat Failure
2017-12-28 22:54,SLU255,Critical,Heartbeat Failure
2017-12-28 22:55,SLU254,Critical,Heartbeat Failure
2017-12-28 23:03,TCI009,Critical,Heartbeat Failure
2017-12-28 23:46,JKAM03,Critical,Heartbeat Failure
2017-12-28 23:58,BVT236,Critical,Heartbeat Failure
2017-12-29 00:44,JWM036,Critical,Heartbeat Failure
2017-12-29 00:51,JWM036,Critical,Heartbeat Failure
2017-12-29 00:55,SLU223,Critical,Heartbeat Failure
2017-12-29 00:59,JWM036,Critical,Heartbeat Failure
2017-12-29 01:05,JWM036,Critical,Heartbeat Failure
2017-12-29 02:57,JKAM03,Critical,Heartbeat Failure
2017-12-29 03:37,JSA057,Critical,Heartbeat Failure
2017-12-29 03:55,TCI009,Critical,Heartbeat Failure
2017-12-29 04:20,JSA011,Critical,Heartbeat Failure
2017-12-29 04:20,JSA051,Critical,Heartbeat Failure
2017-12-29 04:42,TCI009,Critical,Heartbeat Failure
2017-12-29 05:17,TCI009,Critical,Heartbeat Failure
2017-12-29 05:26,BVT236,Critical,Heartbeat Failure
2017-12-29 05:44,JSC021,Critical,Heartbeat Failure
2017-12-29 05:49,JSM032,Critical,Heartbeat Failure
2017-12-29 06:03,DOM036,Critical,Heartbeat Failure
2017-12-28 21:22,AXA414,Critical,License Key File Fault
2017-12-29 09:08,JKAM03,Critical,Heartbeat Failure
2017-12-29 09:12,BVT236,Critical,Heartbeat Failure
2017-12-29 09:17,JKA049,Critical,Heartbeat Failure
2017-12-29 09:28,BVV241,Critical,Heartbeat Failure
2017-12-29 09:28,BVV240,Critical,Heartbeat Failure
2017-12-29 10:00,BVV240,Critical,Heartbeat Failure
2017-12-29 10:01,BVV241,Critical,Heartbeat Failure
2017-12-29 10:20,TCI006,Critical,Heartbeat Failure
2017-12-29 10:21,TCI022,Critical,Heartbeat Failure
2017-12-29 10:21,JKAM03,Critical,Heartbeat Failure
2017-12-29 10:27,BVV241,Critical,Heartbeat Failure
2017-12-29 01:40,AXA415,Critical,License Key File Fault
2017-12-29 11:13,TCI022,Critical,Heartbeat Failure
2017-12-29 11:18,DOM011,Critical,Heartbeat Failure
2017-12-29 11:26,BVT232,Critical,Heartbeat Failure
2017-12-29 11:40,BVV240,Critical,Heartbeat Failure
2017-12-29 11:43,BVV241,Critical,Heartbeat Failure
